,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
LDA_00,0.0003121928339938114,0.02982018748452177,0.0,-0.0004147440756996004,-3.5645903153523473e-05,0.00014683684011343773
LDA_01,0.0009022157210602811,0.0295015843412146,0.0,-0.0007085617260198381,-7.457010590368584e-05,1.6379009184863377e-05
LDA_02,0.004485544783911383,0.029435497780984487,0.0,-0.0026573343233700177,-0.0015277813429060954,1.9528925399770962e-05
LDA_03,0.010239975977979668,0.02985699988735645,0.0,-0.007290475160262611,-0.003211196704580018,2.4982986147519312e-05
LDA_04,0.0012670488089445353,0.02972882983048914,0.0,-0.000966531190806375,-0.0004002176461318244,4.702673281342986e-05
abs_title_sentiment_polarity,0.0013176931548967677,0.029627731935254024,0.0,-0.0008138644284754169,-0.00034642209420579875,1.163121325665649e-05
abs_title_subjectivity,5.805856380038889e-05,0.029535431597623302,0.0,0.00016059600309177086,2.4365397517112788e-05,1.0275062345668649e-05
average_token_length,-7.010062711988147e-05,0.029750647359824366,0.0,0.0002669191460950086,-0.0002199555721364136,8.757770123629643e-05
avg_negative_polarity,0.0016894266983187311,0.029440369474482996,0.0,-0.0005891851942867141,-0.0008438174831325772,4.3243292583590784e-05
avg_positive_polarity,0.0017215434246251032,0.02956279668662016,0.0,-0.0019752528713605924,0.00026114643773841883,4.1500348655085216e-05
data_channel_is_bus,0.00038012326464746644,0.029214520028661477,0.0,6.202881295767936e-05,-8.074186312703398e-05,0.00022742763419729422
data_channel_is_entertainment,0.0004898702564140692,0.02902722719054862,0.0,-0.0005512216204236695,0.000617113239531688,4.438480737152105e-06
data_channel_is_lifestyle,0.00015953123824826598,0.02929460262503188,0.0,-4.419387426159517e-05,0.0001564358137601814,9.62571590909892e-05
data_channel_is_socmed,0.00013391012776133414,0.029472185518428833,0.0,-0.00013719920897119355,0.00010118244304790873,1.1803532487683503e-05
data_channel_is_tech,0.00027424141862532,0.029343990921774993,0.0,7.902862581537606e-05,-0.00010370690455817951,1.5386500662696663e-05
data_channel_is_world,0.003189343990469546,0.029393459735730515,0.0,-0.0018463380612421597,-0.0011694676810710333,1.7034274529690078e-05
global_rate_negative_words,-0.00022729636260223298,0.029659013092114255,0.0,0.00014035728584795042,6.56504885816982e-05,8.532141869131398e-07
global_rate_positive_words,0.0006168433340122158,0.029619484143862305,0.0,-0.0007413284509090205,0.0001590370055204992,1.074749021271184e-05
global_sentiment_polarity,0.00016217394233391456,0.029600399479791047,0.0,-0.00015872023263039197,8.233552165403844e-06,1.9955424112111005e-05
global_subjectivity,0.005417413974827253,0.029552947351517284,0.0,-0.003928301979816063,-0.0015172843063264536,6.587532057256322e-05
is_weekend,0.0002966992163538604,0.029366566512485776,0.0,0.0001651521346709105,-0.00018446469835317034,2.7972070968595285e-07
kw_avg_avg,0.018285568843876606,0.028787657622798807,0.0,-0.009932577066335734,-0.007435333121096249,0.00013635669920747297
kw_avg_max,0.0026656151868557874,0.029490087326379887,0.0,-0.0015690457265341456,-0.0010552333998780816,0.00014326708099199868
kw_avg_min,-0.00013410766769788028,0.02966081907809401,0.0,0.0005662775739051644,-0.00045011808208985217,9.569871416818892e-05
kw_max_avg,0.01577379242026373,0.029165548384093565,0.0,-0.008486977420477621,-0.006784687464814129,8.91460264797415e-05
kw_max_max,0.0006145691762691003,0.029175253178536188,0.0,-6.291699969636981e-05,-6.534964902493244e-05,1.479118618326045e-05
kw_max_min,0.00022724363587607127,0.029992182210509376,0.0,0.00030061128177448243,-0.0005423642487715181,3.873676751259248e-05
kw_min_avg,0.0067601037112689265,0.029363327561752327,0.0,-0.004495062896080813,-0.0019605668545111614,4.683426496648438e-05
kw_min_max,0.001422792347524417,0.029195090312033434,0.0,-0.0014195795807506128,0.0004630991284174912,1.9261133266018982e-05
kw_min_min,3.0801590294279574e-05,0.02939348897397981,0.0,-0.00018096001279130407,0.0003561888107915762,1.180154032180069e-05
