,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
entropy_Density,0.710670602273151,0.9134237363742623,0.0,-0.704527677793606,-0.005615928566154709,-6.1003137089690584e-05
entropy_ElectronAffinity,0.7028499117905843,0.9135186438290217,0.0,-0.7012113276792511,-0.00157005744877434,0.00030255865898241825
entropy_FusionHeat,0.7126498136302779,0.9134963518747369,0.0,-0.6933663934769478,-0.01898597881764401,9.59359401401508e-05
entropy_ThermalConductivity,0.5933015843216352,0.9134092522803058,0.0,-0.5911804112081096,-0.001775027885429408,0.00013433164216106294
entropy_Valence,0.6820849822844263,0.9133879887785751,0.0,-0.6502880033973475,-0.031329367064281494,3.412854919061817e-05
entropy_atomic_mass,0.7222982895707526,0.9131775620038616,0.0,-0.7122845702603144,-0.009466103451937007,0.00016455128820015813
entropy_atomic_radius,0.7436442013604201,0.9134611372796358,0.0,-0.7089171531908194,-0.034464069666118535,0.00016561336744493388
entropy_fie,0.7360146155997751,0.9134895234990851,0.0,-0.7006926317387515,-0.03493267692307075,1.0898713524910819e-05
gmean_Density,0.7249475936550838,0.91343693039659,0.0,-0.6812507221875622,-0.04323730874363673,-6.763969911788119e-06
gmean_ElectronAffinity,0.6593461912899528,0.9137547284139971,0.0,-0.6472412334777097,-0.011954599911697818,-1.535716397934052e-05
gmean_FusionHeat,0.6755841310665978,0.9134126730156661,0.0,-0.6455124106647522,-0.029600887948803174,6.223681854399089e-06
gmean_ThermalConductivity,0.649762300768174,0.9135637473429694,0.0,-0.6232274128279373,-0.026220445966414013,1.1539833770762644e-05
gmean_Valence,0.6098911526583124,0.9135949493779312,0.0,-0.5777269892558813,-0.03186588964051377,-3.4939892855120275e-06
gmean_atomic_mass,0.5895353848214551,0.9139172490498358,0.0,-0.5938736052284557,0.004317507385930579,-6.806878202889598e-06
gmean_atomic_radius,0.5906529333905183,0.9136276408552982,0.0,-0.5821333259201666,-0.008323919630614927,6.640045552791116e-05
gmean_fie,0.5564724354428914,0.913767128889519,0.0,-0.5521988218145537,-0.004196421812954467,4.540844566056435e-05
mean_Density,0.6019114063695142,0.9138169084805526,0.0,-0.5730054769862505,-0.028807059089607543,-2.6049623645831914e-05
mean_ElectronAffinity,0.639384005551569,0.9137915534762739,0.0,-0.6321169773266196,-0.007156446088226031,-1.2406462434261349e-05
mean_FusionHeat,0.6423170284879226,0.9136550093979311,0.0,-0.6359110399626123,-0.006247336372199911,7.606759952147543e-05
mean_ThermalConductivity,0.6804767897281542,0.9136309022073975,0.0,-0.6395643378162461,-0.040723026450741454,6.940148199886971e-05
mean_Valence,0.521788024766884,0.9136924271809761,0.0,-0.5020473655448766,-0.019608655641365255,6.529838894478543e-05
mean_atomic_mass,0.5701813098388644,0.9137898595240984,0.0,-0.5699483804711143,-0.00020918908546337737,7.612934417778157e-05
mean_atomic_radius,0.4828063454992865,0.9135854129875666,0.0,-0.47970839491504347,-0.002920994458740246,0.00012736003749361913
mean_fie,0.5642502128528837,0.9136090709798624,0.0,-0.5559073341679278,-0.008092584595355992,3.0364081100725825e-05
number_of_elements,0.38628612308438165,0.9136966696575697,0.0,-0.36731504197042647,-0.018743777825162303,-3.424379580010901e-05
range_Density,0.5806230984300119,0.9137198537407346,0.0,-0.5841817539643499,0.003640639888577896,8.789105558812952e-05
range_ElectronAffinity,0.6358133589627947,0.9133915553254417,0.0,-0.6356244740872383,0.0003008092836866078,8.479665878180255e-06
range_FusionHeat,0.5494891096433207,0.9137150999675338,0.0,-0.5418313864112814,-0.0074811869709673256,-1.9070780428613502e-06
range_ThermalConductivity,0.5659866516329878,0.913617382115111,0.0,-0.4954493295381991,-0.07025909888519714,-5.8761741396860154e-06
range_Valence,0.05635671893553514,0.9138609433460009,0.0,-0.06014730097686021,0.0038424817212838053,-2.311387539665544e-05
range_atomic_mass,0.6004304209232446,0.9136075189233305,0.0,-0.5842036246400992,-0.016070528088371637,0.00012594203245834128
range_atomic_radius,0.5980291780813718,0.9136925587144743,0.0,-0.5151389851864078,-0.08281001797664213,0.0001169955177665451
range_fie,0.6510527118881532,0.9137186308798052,0.0,-0.6109291955059384,-0.03996337447565092,1.0956364193718834e-05
std_Density,0.6157221893824018,0.9136070797652989,0.0,-0.6178297451783217,0.0022413306628314886,0.00014887451835219752
std_ElectronAffinity,0.6977363748081955,0.9133625629567308,0.0,-0.6806714316393854,-0.016534585579682237,-3.1913952957041898e-06
