,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
entropy_Density,0.011744454152189509,0.004349501834220469,0.0,0.011792111116261815,0.002171048009936921,7.407622422570205e-05
entropy_ElectronAffinity,0.011153330124683607,0.00493160597584702,0.0,0.011666417800219415,0.00125970687400031,0.00026432736553477196
entropy_FusionHeat,0.015594219655061801,0.004451842221761185,0.0,0.017228081915814306,0.0022699542020004422,0.0003713671267480737
entropy_ThermalConductivity,0.015893580162630944,0.004663377579240872,0.0,0.016159786222927536,0.0011495609955447274,0.00041001965259176407
entropy_Valence,0.021001561051331465,0.004701731092843335,0.0,0.02109646887460052,0.0017880424962974297,0.0002099141603229574
entropy_atomic_mass,0.011397657954377964,0.004857261509872041,0.0,0.009963925618420987,0.004154418891101688,0.0002558775319042467
entropy_atomic_radius,0.014689769802814879,0.004904167006869512,0.0,0.01590372430682035,0.003208876057804714,0.0001313048809019898
entropy_fie,0.01170099176281568,0.004800137062870706,0.0,0.012579587706624885,0.0028187840677278957,0.00022941782448471145
gmean_Density,0.012264658715624112,0.004794256504931651,0.0,0.012537353128364286,0.0013323316281614115,4.089721191339557e-05
gmean_ElectronAffinity,0.009555157477232916,0.0048054289628324766,0.0,0.009867685885233509,0.002265023216517195,7.134425933311541e-05
gmean_FusionHeat,0.01518055628508212,0.004438842433348669,0.0,0.014992776041067291,0.0017575925900042413,1.840699492563454e-05
gmean_ThermalConductivity,0.01162966490052815,0.004790465532201492,0.0,0.01200958379043015,0.0011286201618612855,4.407709565176649e-05
gmean_Valence,0.015234392933118047,0.004687580352078003,0.0,0.015434161627029586,0.0017096953023741318,4.722804708585207e-05
gmean_atomic_mass,0.01250760212274606,0.0046882298730154485,0.0,0.011911846001310544,0.0012245891964042855,5.5086648587395516e-05
gmean_atomic_radius,0.015991008038607913,0.004682662839153695,0.0,0.01613883126741784,0.0006260187979945618,0.00021020799018397365
gmean_fie,0.010730285353364788,0.004721829090706023,0.0,0.011081129554009812,0.0005880582613493131,0.0002217119828645995
mean_Density,0.016315847117317143,0.004444118112166429,0.0,0.01769957756374831,0.0013331083357678664,4.747919242380104e-05
mean_ElectronAffinity,0.012939028756118463,0.004695497546760863,0.0,0.014131353026483915,0.0019780213476877323,3.479251789385513e-05
mean_FusionHeat,0.015152871585525907,0.004818072930103001,0.0,0.015915929123226407,0.0014686112868697902,0.0002546360409909183
mean_ThermalConductivity,0.012323440056635942,0.004820304388880912,0.0,0.013055857817776564,0.0012343565060147165,0.0004114226851731026
